FileName,rename_unweighted,jsjiami_unweighted,jsjiami_recover_unweighted_old,jsjiami_recover_unweighted
100063.js,-1.0,-1.0,-1.0,-1.0
100094.js,1.0,0.0625,0.3333333333333333,0.3333333333333333
100111.js,-1.0,-1.0,-1.0,-1.0
100217.js,-1.0,-1.0,-1.0,-1.0
100374.js,-1.0,-1.0,-1.0,-1.0
100482.js,-1.0,-1.0,-1.0,-1.0
100484.js,-1.0,-1.0,-1.0,-1.0
100561.js,1.0,0.07142857142857142,0.125,0.125
100583.js,1.0,0.13333333333333333,1.0,0.2222222222222222
100586.js,-1.0,0.0,-1.0,-1.0
100610.js,-1.0,-1.0,-1.0,-1.0
100691.js,0.875,0.18518518518518517,0.3333333333333333,0.29411764705882354
100778.js,-1.0,-1.0,-1.0,-1.0
100815.js,-1.0,0.0,-1.0,-1.0
100896.js,0.8571428571428571,0.047619047619047616,0.05128205128205128,0.125
101009.js,0.3333333333333333,0.05,0.125,0.3333333333333333
101085.js,1.0,0.11764705882352941,0.5,0.5
101196.js,1.0,0.23529411764705882,1.0,1.0
101223.js,1.0,0.125,0.6666666666666666,0.6666666666666666
101529.js,1.0,0.125,0.6666666666666666,0.6666666666666666
101576.js,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
101606.js,1.0,1.0,1.0,1.0
101611.js,-1.0,-1.0,-1.0,-1.0
101709.js,1.0,0.10526315789473684,0.3333333333333333,0.3333333333333333
101800.js,1.0,0.11764705882352941,0.5,0.5
102055.js,1.0,0.125,0.6666666666666666,0.6666666666666666
102202.js,1.0,0.125,0.6666666666666666,0.6666666666666666
102658.js,1.0,0.13333333333333333,1.0,1.0
102694.js,1.0,0.13333333333333333,1.0,0.6666666666666666
10292.js,-1.0,-1.0,-1.0,-1.0
102952.js,1.0,0.125,0.6666666666666666,0.6666666666666666
103438.js,1.0,0.13333333333333333,1.0,0.6666666666666666
103695.js,1.0,0.125,0.6666666666666666,0.6666666666666666
10398.js,1.0,0.045454545454545456,0.0625,0.1111111111111111
104116.js,0.75,0.11363636363636363,0.13157894736842105,0.14705882352941177
10414.js,-1.0,-1.0,-1.0,-1.0
10415.js,-1.0,-1.0,-1.0,-1.0
104155.js,0.7142857142857143,0.11538461538461539,0.15,0.17647058823529413
104359.js,0.8222222222222222,0.0755813953488372,0.0783132530120482,0.1326530612244898
10485.js,-1.0,-1.0,-1.0,-1.0
10884.js,-1.0,-1.0,-1.0,-1.0
10899.js,-1.0,-1.0,-1.0,-1.0
10931.js,-1.0,-1.0,-1.0,-1.0
11062.js,0.7291666666666666,0.27184466019417475,0.3111111111111111,0.37333333333333335
11216.js,-1.0,-1.0,-1.0,-1.0
11427.js,0.8441558441558441,0.2028985507246377,0.21212121212121213,0.27722772277227725
11429.js,0.8636363636363636,0.18421052631578946,0.21875,0.21875
11761.js,0.7887323943661971,0.14285714285714285,0.14864864864864866,0.22916666666666666
12012.js,-1.0,-1.0,-1.0,-1.0
12208.js,-1.0,-1.0,-1.0,-1.0
12224.js,0.8461538461538461,0.25,0.3181818181818182,0.30434782608695654
12339.js,-1.0,-1.0,-1.0,-1.0
12476.js,-1.0,-1.0,-1.0,-1.0
1255.js,0.5161290322580645,0.18461538461538463,0.2033898305084746,0.2857142857142857
12699.js,-1.0,-1.0,-1.0,-1.0
1281.js,0.6666666666666666,0.04838709677419355,0.04918032786885246,0.09183673469387756
12896.js,-1.0,-1.0,-1.0,-1.0
13070.js,0.5,0.047619047619047616,0.125,0.2
13312.js,1.0,0.13636363636363635,0.3333333333333333,0.14285714285714285
13547.js,1.0,1.0,1.0,1.0
13575.js,1.0,0.32,0.42105263157894735,0.5714285714285714
13620.js,1.0,0.0625,0.3333333333333333,0.3333333333333333
13628.js,1.0,0.16129032258064516,0.2,0.2631578947368421
13630.js,1.0,0.2,0.2413793103448276,0.25
13693.js,0.5,0.1875,0.3,0.42857142857142855
13749.js,1.0,0.16666666666666666,0.25,0.25
138.js,0.6944444444444444,0.10714285714285714,0.11538461538461539,0.14516129032258066
1407.js,0.4875,0.09615384615384616,0.10989010989010989,0.11235955056179775
14132.js,1.0,1.0,1.0,1.0
14141.js,1.0,1.0,1.0,1.0
14233.js,-1.0,-1.0,-1.0,-1.0
1432.js,0.8541666666666666,0.16666666666666666,0.17857142857142858,0.23809523809523808
1437.js,-1.0,-1.0,-1.0,-1.0
